id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
899,Gats'ama - Ganjule - Harro,Ethiopia,ETH,Definitely endangered,20000
900,Gebe,Indonesia,IDN,Vulnerable,20000
901,Ghadames,Libyan Arab Jamahiriya,LBY,Vulnerable,20000
902,Griko (Calabria),Italy,ITA,Severely endangered,20000
903,Huilliche,Chile,CHL,Critically endangered,20000
904,Ik,Uganda,UGA,Severely endangered,20000
905,Jangshung,India,IND,Definitely endangered,20000
906,Jero,Nepal,NPL,Vulnerable,20000
907,Kari'ña (French Guyana),French Guiana (France),GUF,Definitely endangered,20000
908,Kona,Nigeria,NGA,Severely endangered,20000
909,Koreguaje,Colombia,COL,Definitely endangered,20000
910,Koryak,Russian Federation,RUS,Severely endangered,20000
911,Kota,India,IND,Critically endangered,20000
912,Logorik,Sudan,SDN,Critically endangered,20000
913,Lule Saami,Norway;Sweden,NOR;SWE,Severely endangered,20000
914,Luro,India,IND,Critically endangered,20000
915,Mambai,Chad,TCD,Severely endangered,20000
916,Milang,India,IND,Definitely endangered,20000
917,Mocoví,Argentina,ARG,Definitely endangered,20000
918,Momuna,Indonesia,IDN,Vulnerable,20000
919,Mpi,Thailand,THA,Definitely endangered,20000
920,Muda,China,CHN,Vulnerable,20000
921,Munji,Afghanistan,AFG,Severely endangered,20000
922,Nguon,Viet Nam,VNM,Vulnerable,20000
923,Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),VEN,Severely endangered,20000
924,Nihali,India,IND,Critically endangered,20000
925,Nyishangba,Nepal,NPL,Definitely endangered,20000
926,Ottawa (Walpole Island),Canada;United States of America,CAN;USA,Severely endangered,20000
927,Prasun,Afghanistan,AFG,Definitely endangered,20000
928,Rukai,China,CHN,Vulnerable,20000
929,Sáliba,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Severely endangered,20000
930,Sangkong,China,CHN,Vulnerable,20000
931,Sarwa,Chad,TCD,Definitely endangered,20000
932,Shoshoni (Idaho),United States of America,USA,Severely endangered,20000
933,Shoshoni (Nevada),United States of America,USA,Severely endangered,20000
934,Shoshoni (Wyoming),United States of America,USA,Severely endangered,20000
935,Tai Phake,India,IND,Severely endangered,20000
936,Tamazight (Arzew),Algeria,DZA,Critically endangered,20000
937,Tanglang,China,CHN,Vulnerable,20000
938,Tchitchege,Gabon,GAB,Definitely endangered,20000
939,Tinan,China;India,CHN;IND,Definitely endangered,20000
940,Tsafiki,Ecuador,ECU,Definitely endangered,20000
941,Ukhwejo,Central African Republic,CAF,Severely endangered,20000
942,Urarina,Peru,PER,Vulnerable,20000
943,Ushojo,Pakistan,PAK,Definitely endangered,20000
944,Waigali,Afghanistan,AFG,Definitely endangered,20000
945,Waotededo,Ecuador,ECU,Vulnerable,20000
946,Wotapuri-Katarqalai,Afghanistan,AFG,Definitely endangered,20000
947,Wutun,China,CHN,Definitely endangered,20000
948,Candoshi,Peru,PER,Definitely endangered,19000
949,Hupda (Brazil),Brazil,BRA,Vulnerable,19000
950,Kendeje,Chad,TCD,Definitely endangered,18590
951,Hunzib,Russian Federation,RUS,Definitely endangered,18390
952,Tchumbuli,Benin,BEN,Critically endangered,18380
953,Cashibo-Cacataibo,Peru,PER,Definitely endangered,18000
954,Grass Koiari,Papua New Guinea,PNG,Vulnerable,18000
955,Isirawa,Indonesia,IDN,Vulnerable,18000
956,Lanoh,Malaysia,MYS,Critically endangered,18000
957,Lemolang,Indonesia,IDN,Vulnerable,18000
958,Nila (Seram Island),Indonesia,IDN,Definitely endangered,18000
959,Shixing,China,CHN,Definitely endangered,18000
960,Chuj (Mexico),Mexico,MEX,Critically endangered,17710
961,Darma,India;Nepal,IND;NPL,Definitely endangered,17610
962,Kung,Cameroon,CMR,Severely endangered,17500
963,Lokono (Guyana),Guyana;Venezuela (Bolivarian Republic of),GUY;VEN,Critically endangered,17500
964,Byangsi,India;Nepal,IND;NPL,Definitely endangered,17340
965,Pasing,Lao People's Democratic Republic,LAO,Definitely endangered,17320
966,Yamphu,Nepal,NPL,Definitely endangered,17220
967,Andio,Indonesia,IDN,Vulnerable,17000
968,Cheyenne (Montana),United States of America,USA,Definitely endangered,17000
969,Kumzari,Oman,OMN,Severely endangered,17000
970,Quechua of Yauyos,Peru,PER,Critically endangered,17000
971,Bainouk-Samik,Senegal,SEN,Severely endangered,16850
972,Côông,Viet Nam,VNM,Definitely endangered,16760
973,Dogrib,Canada,CAN,Vulnerable,16750
974,Upland Yuman,United States of America,USA,Vulnerable,16500
975,Eastern Cuicatec,Mexico,MEX,Vulnerable,16410
976,Tamazight (Ait Rouadi),Morocco,MAR,Extinct,16370
977,Woleaian,Micronesia (Federated States of),FSM,Severely endangered,16310
978,Huehuetla Tepehua,Mexico,MEX,Definitely endangered,16030
979,Kadiwéu,Brazil,BRA,Definitely endangered,16000
980,Southern Tiwa (Isleta Pueblo),United States of America,USA,Definitely endangered,16000
981,Southern Tiwa (Sandia Pueblo),United States of America,USA,Definitely endangered,16000
982,Tewa (Arizona),United States of America,USA,Definitely endangered,16000
983,Tewa (New Mexico),United States of America,USA,Severely endangered,16000
984,ǁGana,Botswana,BWA,Vulnerable,15500
985,Akwáwa,Brazil,BRA,Vulnerable,15480
986,Chiquihuitlán Mazatec,Mexico,MEX,Definitely endangered,15020
987,Apinajé,Brazil,BRA,Vulnerable,15000
988,Bashkarik,Pakistan,PAK,Severely endangered,15000
989,Chintang,Nepal,NPL,Severely endangered,15000
990,Forest Nenets,Russian Federation,RUS,Severely endangered,15000
991,Hupda (Colombia),Colombia,COL,Definitely endangered,15000
992,Jah Hut,Malaysia,MYS,Severely endangered,15000
993,Jeri,Côte d'Ivoire,CIV,Severely endangered,15000
994,Jonkor Bourmataguil,Chad,TCD,Severely endangered,15000
995,K'emant,Ethiopia,ETH,Severely endangered,15000
996,Kanashi,India,IND,Definitely endangered,15000
997,Karajá,Brazil,BRA,Vulnerable,15000
998,Karelian (Tikhvin),Russian Federation,RUS,Severely endangered,15000
999,Kendem,Cameroon,CMR,Severely endangered,15000
1000,Khamba,China;India,CHN;IND,Definitely endangered,15000
1001,Mayoruna (Brazil),Brazil,BRA,Vulnerable,15000
1002,Mescalero-Chiricahua Apache (New Mexico),United States of America,USA,Definitely endangered,15000
1003,Numao Bunu,China,CHN,Definitely endangered,15000
1004,Orang Seletar,Malaysia,MYS,Severely endangered,15000
1005,Palenque Creole,Colombia,COL,Definitely endangered,15000
1006,Pyuma,China,CHN,Vulnerable,15000
1007,Saaroa,China,CHN,Critically endangered,15000
1008,Saluan,Indonesia,IDN,Vulnerable,15000
1009,Semaq Beri,Malaysia,MYS,Critically endangered,15000
1010,Talodi,Sudan,SDN,Critically endangered,15000
1011,Wayana (Suriname),Suriname,SUR,Vulnerable,15000
1012,Wik Mungkan,Australia,AUS,Vulnerable,15000
1013,Natsilingmiutut,Canada,CAN,Vulnerable,14550
1014,Movima,Bolivia (Plurinational State of),BOL,Severely endangered,14520
1015,Ngombe,Central African Republic,CAF,Definitely endangered,14500
1016,Cinta Larga,Brazil,BRA,Vulnerable,14400
1017,Dupaninan Agta,Philippines,PHL,Vulnerable,14000
1018,Tese,Sudan,SDN,Critically endangered,14000
1019,Bororo,Brazil,BRA,Definitely endangered,13900
1020,Puluwat,Micronesia (Federated States of),FSM,Severely endangered,13640
1021,Kanela Rankokamekra,Brazil,BRA,Vulnerable,13370
1022,Saba,Chad,TCD,Definitely endangered,13350
1023,Kurripako (Brazil),Brazil,BRA,Vulnerable,13320
1024,Guernsey French,United Kingdom of Great Britain and Northern Ireland,GBR,Severely endangered,13270
1025,Paafang,Micronesia (Federated States of),FSM,Severely endangered,13180
1026,Chɨlɨng,Nepal,NPL,Definitely endangered,13140
1027,Cypriot Arabic,Cyprus,CYP,Severely endangered,13000
1028,Palikur (Brazil),Brazil,BRA,Vulnerable,13000
1029,Sanenyo,India,IND,Critically endangered,13000
1030,Tecóatl Mazatec,Mexico,MEX,Vulnerable,13000
1031,Ozomatlán Totonac,Mexico,MEX,Critically endangered,12760
1032,Kāgate,Nepal,NPL,Definitely endangered,12730
1033,Maxakali,Brazil,BRA,Vulnerable,12710
1034,Murik,Papua New Guinea,PNG,Vulnerable,12560
1035,Pengo,India,IND,Critically endangered,12540
1036,Marúbo,Brazil,BRA,Vulnerable,12520
1037,Aivilingmiutut,Canada,CAN,Vulnerable,12450
1038,Besme,Chad,TCD,Severely endangered,12280
1039,Oirata,Indonesia,IDN,Definitely endangered,12210
1040,Lohorung,Nepal,NPL,Severely endangered,12070
1041,Harakmbut,Peru,PER,Definitely endangered,12060
1042,Buyang,China,CHN,Severely endangered,12000
1043,Mah Meri,Malaysia,MYS,Severely endangered,12000
1044,Manjui,Argentina;Bolivia (Plurinational State of);Paraguay,ARG;BOL;PRY,Definitely endangered,12000
1045,Te'un (Seram Island),Indonesia,IDN,Definitely endangered,12000
1046,Tsou,China,CHN,Vulnerable,12000
1047,Ujir,Indonesia,IDN,Definitely endangered,12000
1048,White Gelao (China),China,CHN,Severely endangered,12000
1049,Northern Algonquin,Canada,CAN,Vulnerable,11800
1050,Akawaio (Brazil),Brazil,BRA,Vulnerable,11700
1051,Huehuetlán Mazatec,Mexico,MEX,Vulnerable,11690
1052,Trio (Brazil),Brazil,BRA,Vulnerable,11560
1053,Savo,Solomon Islands,SLB,Definitely endangered,11470
1054,Tektitek,Guatemala,GTM,Definitely endangered,11440
1055,Fwâi,New Caledonia (France),NCL,Vulnerable,11310
1056,Waimirí-Atroarí,Brazil,BRA,Vulnerable,11200
1057,Guayabero,Colombia,COL,Definitely endangered,11180
1058,Fagauvea (Northern),New Caledonia (France),NCL,Vulnerable,11070
1059,Fagauvea (Southern),New Caledonia (France),NCL,Vulnerable,11070
1060,Fania,Chad,TCD,Severely endangered,11000
1061,Ubi,Chad,TCD,Severely endangered,11000
1062,Warnang,Sudan,SDN,Severely endangered,11000
1063,Itzá,Guatemala,GTM,Critically endangered,10940
1064,Koireng,India,IND,Critically endangered,10560
1065,Chipaya,Bolivia (Plurinational State of),BOL,Definitely endangered,10500
1066,Mokilese,Micronesia (Federated States of),FSM,Critically endangered,10500
1067,Toda,India,IND,Critically endangered,10060
1068,Adabe,Timor-Leste,TLS,Vulnerable,10000
1069,Alutor,Russian Federation,RUS,Severely endangered,10000
1070,Arapaho (Wyoming),United States of America,USA,Severely endangered,10000
1071,Beeke,Democratic Republic of the Congo,ZAI,Severely endangered,10000
1072,Blackfoot (United States of America),United States of America,USA,Definitely endangered,10000
1073,Bohtan Neo-Aramaic,Georgia;Russian Federation,GEO;RUS,Severely endangered,10000
1074,Bola,China,CHN,Definitely endangered,10000
1075,Bong'om,Kenya,KEN,Definitely endangered,10000
1076,Bora,Colombia;Peru,COL;PER,Vulnerable,10000
1077,Central Siberian Yupik (St. Lawrence Island),United States of America,USA,Definitely endangered,10000
1078,Chali,Bhutan,BTN,Definitely endangered,10000
1079,Cherokee (North Carolina),United States of America,USA,Severely endangered,10000
1080,Cocama-Cocamilla (Peru),Peru,PER,Severely endangered,10000
1081,Dair,Sudan,SDN,Severely endangered,10000
1082,Dakpa,Bhutan;India,BTN;IND,Definitely endangered,10000
1083,Dampelas,Indonesia,IDN,Definitely endangered,10000
1084,Danaw,Myanmar,MMR,Critically endangered,10000
1085,Ega,Côte d'Ivoire,CIV,Severely endangered,10000
1086,El Hugeirat,Sudan,SDN,Severely endangered,10000
1087,Faghani,Solomon Islands,SLB,Vulnerable,10000
1088,Fongoro,Chad,TCD,Severely endangered,10000
1089,Gambiri,Afghanistan,AFG,Severely endangered,10000
1090,Gongduk,Bhutan,BTN,Vulnerable,10000
1091,Gorap,Indonesia,IDN,Definitely endangered,10000
1092,Guugu Yimidhirr,Australia,AUS,Vulnerable,10000
1093,Gyem,Nigeria,NGA,Critically endangered,10000
1094,Habu,Timor-Leste,TLS,Vulnerable,10000
1095,Hawaiian,United States of America,USA,Critically endangered,10000
1096,Hértevin,Turkey,TUR,Critically endangered,10000
1097,Hu,China,CHN,Definitely endangered,10000
1098,Hualapai,United States of America,USA,Vulnerable,10000
1099,Hung,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Definitely endangered,10000
1100,Inkhokvari,Russian Federation,RUS,Definitely endangered,10000
1101,Ishkashimi,Tajikistan,TJK,Severely endangered,10000
1102,Iyive,Cameroon,CMR,Severely endangered,10000
1103,Jiongnai Bunu,China,CHN,Definitely endangered,10000
1104,Kaande,Gabon,GAB,Severely endangered,10000
1105,Kaco',Cambodia,KHM,Definitely endangered,10000
1106,Kadu,Myanmar,MMR,Severely endangered,10000
1107,Kairui-Midiki,Timor-Leste,TLS,Vulnerable,10000
1108,Kari,Democratic Republic of the Congo,ZAI,Severely endangered,10000
1109,Kayabi,Brazil,BRA,Vulnerable,10000
1110,Khowa,India,IND,Definitely endangered,10000
1111,Kodeoha,Indonesia,IDN,Vulnerable,10000
1112,Kujarge,Chad,TCD,Definitely endangered,10000
1113,Kukatja,Australia,AUS,Vulnerable,10000
1114,Kuot,Papua New Guinea,PNG,Vulnerable,10000
1115,Lokono (Suriname),French Guiana (France);Suriname,GUF;SUR,Severely endangered,10000
1116,Mahongwe,Gabon,GAB,Severely endangered,10000
1117,May,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Definitely endangered,10000
1118,Mbara,Chad,TCD,Severely endangered,10000
1119,Mech,India,IND,Severely endangered,10000
1120,Mòcheno,Italy,ITA,Definitely endangered,10000
1121,Naueti,Timor-Leste,TLS,Vulnerable,10000
1122,North Greenlandic,Greenland (Kingdom of Denmark),GRL,Definitely endangered,10000
1123,Ormuri,Pakistan;Afghanistan,PAK;AFG,Definitely endangered,10000
1124,Paiter,Brazil,BRA,Vulnerable,10000
1125,Pareci,Brazil,BRA,Definitely endangered,10000
1126,Pasi,India,IND,Definitely endangered,10000
1127,Resian,Italy,ITA,Definitely endangered,10000
1128,Sach,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Definitely endangered,10000
1129,Sake,Gabon,GAB,Severely endangered,10000
1130,Saterlandic,Germany,DEU,Severely endangered,10000
1131,She,China,CHN,Critically endangered,10000
1132,Shumashti,Afghanistan,AFG,Severely endangered,10000
1133,Sighu,Gabon,GAB,Severely endangered,10000
1134,Sobei,Indonesia,IDN,Definitely endangered,10000
1135,Thavung (Laos),Lao People's Democratic Republic;Thailand,LAO;THA,Definitely endangered,10000
1136,Tirma,Sudan,SDN,Critically endangered,10000
1137,Tombelala,Indonesia,IDN,Vulnerable,10000
1138,Toto,India,IND,Critically endangered,10000
1139,Trio (Suriname),Suriname,SUR,Vulnerable,10000
1140,Tum,Lao People's Democratic Republic,LAO,Definitely endangered,10000
1141,Tuotomb,Cameroon,CMR,Severely endangered,10000
1142,Yatê,Brazil,BRA,Severely endangered,10000
1143,Zaiwa,China;India,CHN;IND,Definitely endangered,10000
1144,Zay,Ethiopia,ETH,Severely endangered,10000
1145,Zenaga (Western Sahara),Western Sahara,ESH,Critically endangered,10000
1146,|Gui,Botswana,BWA,Vulnerable,10000
1147,ǁAni,Botswana,BWA,Definitely endangered,10000
1148,Ka'apór,Brazil,BRA,Vulnerable,9910
1149,Hadza,United Republic of Tanzania,TZA,Vulnerable,9750
1150,Kunwinjku,Australia,AUS,Vulnerable,9740
1151,Bakairi,Brazil,BRA,Vulnerable,9500
1152,Drubea,New Caledonia (France),NCL,Vulnerable,9460
1153,Namonuito,Micronesia (Federated States of),FSM,Severely endangered,9440
1154,Hya,Cameroon;Nigeria,CMR;NGA,Severely endangered,9400
1155,Machineri (Brazil),Brazil,BRA,Vulnerable,9370
1156,South Slavey,Canada,CAN,Definitely endangered,9200
1157,Wajãpi,Brazil,BRA,Vulnerable,9050
1158,Mewahang,Nepal,NPL,Severely endangered,9040
1159,Awapit,Ecuador,ECU,Severely endangered,9000
1160,Chimila,Colombia,COL,Severely endangered,9000
1161,Kua,Botswana,BWA,Definitely endangered,9000
1162,Njalgulgule,Sudan,SDN,Severely endangered,9000
1163,Pech,Honduras,HND,Severely endangered,9000
1164,Rikbaktsa,Brazil,BRA,Severely endangered,9000
1165,Caac,New Caledonia (France),NCL,Vulnerable,8900
1166,Inuinnaqtun,Canada,CAN,Definitely endangered,8900
1167,Voh-Koné dialects,New Caledonia (France),NCL,Definitely endangered,8780
1168,Kuna (Colombia),Colombia,COL,Severely endangered,8760
1169,Dení,Brazil,BRA,Vulnerable,8750
1170,Tarao,India,IND,Critically endangered,8700
1171,Santa María del Mar Huave,Mexico,MEX,Severely endangered,8620
1172,Nukuoro,Micronesia (Federated States of),FSM,Definitely endangered,8600
1173,Kumak,New Caledonia (France),NCL,Vulnerable,8470
1174,Pukapukan,Cook Islands,COK,Definitely endangered,8400
1175,Lola,Indonesia,IDN,Vulnerable,8300
1176,Ashaninka (Brazil),Brazil,BRA,Vulnerable,8130
1177,Ottawa (Canada),Canada;United States of America,CAN;USA,Severely endangered,8100
1178,Bati,Cameroon,CMR,Severely endangered,8000
1179,Chorote Iyojwa'ja,Argentina;Paraguay,ARG;PRY,Severely endangered,8000
1180,Eman,Cameroon,CMR,Severely endangered,8000
1181,Isu,Cameroon,CMR,Severely endangered,8000
1182,Jamamadí,Brazil,BRA,Vulnerable,8000
1183,Javaé,Brazil,BRA,Definitely endangered,8000
1184,Nubaca,Cameroon,CMR,Severely endangered,8000
1185,Piaroa (Colombia),Colombia,COL,Definitely endangered,8000
1186,Taos,United States of America,USA,Definitely endangered,8000
1187,Taulil,Papua New Guinea,PNG,Vulnerable,8000
1188,Tuyuca (Brazil),Brazil,BRA,Vulnerable,8000
1189,Kaike,Nepal,NPL,Definitely endangered,7940
1190,Kildin Saami,Russian Federation,RUS,Severely endangered,7870
1191,Ese eja,Bolivia (Plurinational State of);Peru,BOL;PER,Definitely endangered,7820
1192,Central Cagayan Agta,Philippines,PHL,Vulnerable,7790
1193,Jaqaru,Peru,PER,Severely endangered,7500
1194,Waiwai (Suriname),Suriname,SUR,Critically endangered,7500
1195,Laal,Chad,TCD,Critically endangered,7490
1196,Ulcha,Russian Federation,RUS,Critically endangered,7320
1197,Jawe,New Caledonia (France),NCL,Vulnerable,7290
1198,Maslam,Cameroon;Chad,CMR;TCD,Severely endangered,7230
1199,Nambiquara do Sul,Brazil,BRA,Vulnerable,7210
1200,North Slavey,Canada,CAN,Definitely endangered,7200
1201,Gitksan,Canada,CAN,Severely endangered,7100
1202,A'ingae / Cofan (Ecuador),Ecuador,ECU,Definitely endangered,7000
1203,Animere,Ghana,GHA,Critically endangered,7000
1204,Batek,Malaysia,MYS,Critically endangered,7000
1205,Enggano,Indonesia,IDN,Vulnerable,7000
1206,Indri,Sudan,SDN,Severely endangered,7000
1207,Kalaw Lagaw Ya,Australia,AUS,Definitely endangered,7000
1208,Lakon,Vanuatu,VUT,Vulnerable,7000
1209,Mok (China),China,CHN,Definitely endangered,7000
1210,Ngaanyatjarra,Australia,AUS,Vulnerable,7000
1211,Piratapuya (Brazil),Brazil,BRA,Severely endangered,7000
1212,Mountain Guarijío,Mexico,MEX,Vulnerable,6960
1213,Nivkh (Sakhalin),Russian Federation,RUS,Severely endangered,6880
1214,Krikati,Brazil,BRA,Vulnerable,6820
1215,Dakota,Canada,CAN,Definitely endangered,6750
1216,Carrier,Canada,CAN,Severely endangered,6600
1217,Kasanga,Guinea-Bissau,GNB,Critically endangered,6500
1218,Wanano / Kotiria (Brazil),Brazil,BRA,Vulnerable,6500
1219,Eastern Ojibwe,Canada,CAN,Severely endangered,6200
1220,Yuhup (Brazil),Brazil,BRA,Vulnerable,6170
1221,Akum,Cameroon;Nigeria,CMR;NGA,Critically endangered,6000
1222,Blablanga,Solomon Islands,SLB,Definitely endangered,6000
1223,Bubia,Cameroon,CMR,Severely endangered,6000
1224,Chickasaw,United States of America,USA,Severely endangered,6000
1225,Desano (Brazil),Brazil,BRA,Definitely endangered,6000
1226,Faetar,Italy,ITA,Definitely endangered,6000
1227,Hixkaryána,Brazil,BRA,Vulnerable,6000
1228,Hoava,Solomon Islands,SLB,Vulnerable,6000
1229,Hodi,Venezuela (Bolivarian Republic of),VEN,Vulnerable,6000
1230,Iñapari,Peru,PER,Critically endangered,6000
1231,Koke,Chad,TCD,Severely endangered,6000
1232,Kowiai,Indonesia,IDN,Vulnerable,6000
1233,Kuikuro,Brazil,BRA,Vulnerable,6000
1234,Laiyolo,Indonesia,IDN,Definitely endangered,6000
1235,Mo'da,Sudan,SDN,Critically endangered,6000
1236,Northern Selkup,Russian Federation,RUS,Severely endangered,6000
1237,Penrhyn,Cook Islands,COK,Severely endangered,6000
1238,Pintupi,Australia,AUS,Vulnerable,6000
1239,Piratapuya (Colombia),Colombia,COL,Critically endangered,6000
1240,Siona / Secoya (Ecuador),Ecuador,ECU,Severely endangered,6000
1241,Sonsorol,Palau,PLW,Severely endangered,6000
1242,Teanu,Solomon Islands,SLB,Definitely endangered,6000
1243,Yaminahua (Brazil),Brazil,BRA,Vulnerable,6000
1244,Andoke,Colombia,COL,Severely endangered,5970
1245,Orowe,New Caledonia (France),NCL,Definitely endangered,5870
1246,Mosetén,Bolivia (Plurinational State of),BOL,Severely endangered,5850
1247,Norfolk-Pitcairn (Norfolk),Norfolk Island (Australia),NFK,Definitely endangered,5800
1248,Nunatsiavummiutut,Canada,CAN,Definitely endangered,5750
1249,Shuswap,Canada,CAN,Definitely endangered,5700
1250,Xaragure,New Caledonia (France),NCL,Vulnerable,5660
1251,Tapirapé,Brazil,BRA,Vulnerable,5640
1252,Lacandón,Mexico,MEX,Critically endangered,5630
1253,Chilcotin,Canada,CAN,Definitely endangered,5600
1254,Chácobo,Bolivia (Plurinational State of),BOL,Definitely endangered,5500
1255,Gao,Solomon Islands,SLB,Vulnerable,5500
1256,Geme,Central African Republic,CAF,Critically endangered,5500
1257,Karore,Papua New Guinea,PNG,Vulnerable,5500
1258,Yuhup (Colombia),Colombia,COL,Definitely endangered,5500
1259,Hinukh,Russian Federation,RUS,Definitely endangered,5480
1260,Anuki,Papua New Guinea,PNG,Definitely endangered,5420
1261,Imeraguen,Mauritania,MRT,Definitely endangered,5340
1262,Narpa,Nepal,NPL,Definitely endangered,5330
1263,Akatek (Mexico),Mexico,MEX,Vulnerable,5320
1264,Naskapi,Canada,CAN,Vulnerable,5250
1265,Archi,Russian Federation,RUS,Definitely endangered,5240
1266,Yawanawá,Brazil,BRA,Vulnerable,5190
1267,Raute,Nepal,NPL,Severely endangered,5180
1268,Seri,Mexico,MEX,Vulnerable,5180
1269,Western Popoloc,Mexico,MEX,Severely endangered,5160
1270,Yaqui (United States of America),United States of America,USA,Definitely endangered,5100
1271,Kalapalo,Brazil,BRA,Vulnerable,5060
1272,Nganasan,Russian Federation,RUS,Severely endangered,5050
1273,Jakaltek (Mexico),Mexico,MEX,Severely endangered,5040
1274,Aheu,Lao People's Democratic Republic,LAO,Definitely endangered,5000
1275,Amahuaca,Peru,PER,Severely endangered,5000
1276,Anfillo,Ethiopia,ETH,Critically endangered,5000
1277,Baniva,Venezuela (Bolivarian Republic of),VEN,Severely endangered,5000
1278,Bataan Ayta,Philippines,PHL,Definitely endangered,5000
1279,Bats,Georgia,GEO,Severely endangered,5000
1280,Black Mountain,Bhutan,BTN,Definitely endangered,5000
1281,Busoa,Indonesia,IDN,Vulnerable,5000
1282,Chong,Cambodia;Thailand,KHM;THA,Severely endangered,5000
1283,Domaaki,Pakistan,PAK,Severely endangered,5000
1284,Havasupai,United States of America,USA,Definitely endangered,5000
1285,Kensiw (Thailand),Thailand,THA,Severely endangered,5000
1286,Khmin,China,CHN,Vulnerable,5000
1287,Khvarshi,Russian Federation,RUS,Definitely endangered,5000
1288,Laghuu,Viet Nam,VNM,Definitely endangered,5000
1289,Laha (Lao Cai),Viet Nam,VNM,Definitely endangered,5000
1290,Laha (Son La),Viet Nam,VNM,Definitely endangered,5000
1291,Majera,Cameroon,CMR,Critically endangered,5000
1292,Maliseet-Passamaquoddy,United States of America,USA,Severely endangered,5000
1293,Mikasuki,United States of America,USA,Vulnerable,5000
1294,Mlomp,Senegal,SEN,Critically endangered,5000
1295,Onin,Indonesia,IDN,Vulnerable,5000
1296,Ormu,Indonesia,IDN,Vulnerable,5000
1297,Palikur (French Guyana),French Guiana (France),GUF,Severely endangered,5000
1298,Pemon (Brazil),Brazil,BRA,Vulnerable,5000
1299,Quechua of Chachapoyas,Peru,PER,Critically endangered,5000
1300,Seke,Nepal,NPL,Vulnerable,5000
1301,Siona / Secoya (Colombia),Colombia,COL,Critically endangered,5000
1302,South Saami,Norway;Sweden,NOR;SWE,Severely endangered,5000
1303,Taikat,Indonesia,IDN,Definitely endangered,5000
1304,Taloki,Indonesia,IDN,Definitely endangered,5000
1305,Tamki,Chad,TCD,Critically endangered,5000
1306,Tawahka,Honduras,HND,Severely endangered,5000
1307,Thavung (Thailand),Thailand,THA,Severely endangered,5000
1308,Tomadino,Indonesia,IDN,Definitely endangered,5000
1309,Toratán,Indonesia,IDN,Definitely endangered,5000
1310,Tunisian Judeo-Arabic (Tunisia),Tunisia,TUN,Critically endangered,5000
1311,Ute (Colorado;Ute Mountain),United States of America,USA,Severely endangered,5000
1312,Walmajarri,Australia,AUS,Definitely endangered,5000
1313,Warekena (Venezuela),Venezuela (Bolivarian Republic of),VEN,Severely endangered,5000
1314,Boguru,Democratic Republic of the Congo;Sudan,ZAI;SDN,Critically endangered,4940
1315,Pukobyê,Brazil,BRA,Vulnerable,4940
1316,Wali,Sudan,SDN,Critically endangered,4870
1317,Gavião do Pará,Brazil,BRA,Vulnerable,4760
1318,Malecite,Canada;United States of America,CAN;USA,Definitely endangered,4750
1319,Ninam (Brazil),Brazil,BRA,Vulnerable,4660
1320,Zoró,Brazil,BRA,Vulnerable,4640
1321,Sanema (Brazil),Brazil,BRA,Vulnerable,4620
1322,Ixtenco Otomí,Mexico,MEX,Severely endangered,4610
1323,Ottawa (Michigan),United States of America,USA,Critically endangered,4590
1324,Kanela Apaniekra,Brazil,BRA,Vulnerable,4580
1325,Satawal,Micronesia (Federated States of),FSM,Severely endangered,4580
1326,Chatino of Zacatepec,Mexico,MEX,Definitely endangered,4530
1327,Demisa,Indonesia,IDN,Definitely endangered,4500
1328,Koasati (Louisiana),United States of America,USA,Definitely endangered,4500
1329,Koasati (Texas),United States of America,USA,Definitely endangered,4500
1330,Nanti,Peru,PER,Vulnerable,4500
1331,Shabo,Ethiopia,ETH,Severely endangered,4500
1332,Sharanahua,Peru,PER,Severely endangered,4500
1333,Siona  Secoya (Peru),Peru,PER,Definitely endangered,4500
1334,Tolomako,Vanuatu,VUT,Definitely endangered,4500
1335,Enawenê-Nawê,Brazil,BRA,Vulnerable,4450
1336,Valle Nacional Chinantec,Mexico,MEX,Definitely endangered,4420
1337,Gavião de Rondônia,Brazil,BRA,Vulnerable,4360
1338,Tabasco Náhuatl,Mexico,MEX,Critically endangered,4340
1339,Sera,Papua New Guinea,PNG,Severely endangered,4320
1340,Yecuana (Brazil),Brazil,BRA,Vulnerable,4300
1341,Moose Cree,Canada,CAN,Vulnerable,4050
1342,Tlahuica,Mexico,MEX,Severely endangered,4050
1343,Katukina do Acre,Brazil,BRA,Severely endangered,4040
1344,Abai Sungai,Malaysia,MYS,Definitely endangered,4000
1345,Barasana (Colombia),Colombia,COL,Critically endangered,4000
1346,Beezen,Cameroon,CMR,Severely endangered,4000
1347,Buga,Sudan,SDN,Critically endangered,4000
1348,Cheyenne (Oklahoma),United States of America,USA,Severely endangered,4000
1349,Cimbrian,Italy,ITA,Definitely endangered,4000
1350,Cobiana,Guinea-Bissau;Senegal,GNB;SEN,Critically endangered,4000
1351,Dagur (Amur),China,CHN,Critically endangered,4000
1352,Dahalo,Kenya,KEN,Severely endangered,4000
